mshortName,murl,cbestBuyYesCost,cbestSellYesCost,cbestBuyNoCost,cbestSellNoCost,contracts_ct,revenue,pi_cut,pi_cut_min,pi_cut_less_min,profit_net,dttm
"Sen. Majority leader on Feb. 1, 2023?","https://www.predictit.org/markets/detail/7544/Who-will-be-Senate-majority-leader-on-Feb-1,-2023",1.18,1.14,2.86,2.82,4,3,0.114,0.001,0.113,0.0270000000000001,2022-06-28 16:12:02.637849
CO-08 Republican nominee?,https://www.predictit.org/markets/detail/7996/Who-will-win-the-Republican-nomination-for-the-CO-08-House-election,1.64,1.2,2.8,2.36,4,3,0.12,0.001,0.119,0.0810000000000001,2022-06-27 23:25:44.881018
South Carolina Dem Senate nominee?,https://www.predictit.org/markets/detail/7986/Who-will-win-the-2022-South-Carolina-Democratic-Senate-runoff,1.37,1.27,0.73,0.63,2,1,0.127,0.06,0.067,0.203,2022-06-27 18:56:24.168697
Colorado GOP gubernatorial nominee?,https://www.predictit.org/markets/detail/7569/Who-will-win-the-2022-Colorado-Republican-gubernatorial-nomination,1.3,1.24,0.76,0.7,2,1,0.124,0.0349999999999999,0.089,0.151,2022-06-26 23:54:57.121865
Congressional ballot lead for June 29?,https://www.predictit.org/markets/detail/7999/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-June-29,1.44,1.12,7.88,7.56,9,8,0.112,0.002,0.11,0.01,2022-06-25 12:28:00.567634
House Yeas for gun control by June 30?,https://www.predictit.org/markets/detail/7997/How-many-Yea-votes-in-the-House-for-gun-control-by-June-30,1.47,1.12,8.879999999999999,8.53,10,9,0.112,0.003,0.109,0.0110000000000009,2022-06-24 14:50:16.625793
IL-01 Democratic nominee?,https://www.predictit.org/markets/detail/7991/Who-will-win-the-Democratic-nomination-in-the-IL-01-House-election,1.25,1.12,3.88,3.75,5,4,0.112,0.002,0.11,0.0100000000000001,2022-06-23 23:57:58.871701
Biden's 538 approval for June 29?,https://www.predictit.org/markets/detail/7998/What-will-Joe-Biden's-538-job-approval-rating-be-for-June-29,1.5,1.13,7.87,7.5,9,8,0.113,0.002,0.111,0.0189999999999998,2022-06-23 18:13:26.823156
Biden's RCP approval on June 24?,https://www.predictit.org/markets/detail/7992/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-June-24,1.26,1.12,3.88,3.74,5,4,0.112,0.001,0.111,0.009,2022-06-23 17:54:16.041358
MS-03 GOP runoff winner?,https://www.predictit.org/markets/detail/7970/Who-will-win-the-Republican-nomination-in-the-MS-03-House-runoff,1.15,1.12,0.8800000000000001,0.8500000000000001,2,1,0.1119999999999999,0.044,0.0679999999999999,0.0519999999999998,2022-06-22 23:45:59.241338
AL Senate GOP runoff margin?,https://www.predictit.org/markets/detail/7990/What-will-be-the-margin-in-the-Alabama-GOP-Senate-primary-runoff,1.23,1.14,1.86,1.77,3,2,0.114,0.006,0.108,0.0320000000000001,2022-06-22 04:00:19.559294
Number of judges confirmed by June 24?,https://www.predictit.org/markets/detail/7967/How-many-federal-judges-will-be-confirmed-by-June-24,1.52,1.1800000000000002,4.82,4.48,6,5,0.118,0.001,0.117,0.0629999999999997,2022-06-22 00:17:52.737201
GA-02 Republican nominee?,https://www.predictit.org/markets/detail/7949/Who-will-win-the-Republican-nomination-in-the-GA-02-House-runoff,1.33,1.14,0.86,0.6699999999999999,2,1,0.114,0.049,0.065,0.075,2022-06-21 23:59:45.068086
IL-13 Republican nominee?,https://www.predictit.org/markets/detail/7982/Who-will-win-the-Republican-nomination-for-the-IL-13-House-election,2.23,1.22,2.78,1.77,4,3,0.122,0.001,0.121,0.0989999999999997,2022-06-21 12:58:34.989254
Colombian presidential runoff margin?,https://www.predictit.org/markets/detail/7987/What-will-be-the-margin-in-the-Colombian-presidential-runoff-election,1.36,1.14,8.86,8.64,10,9,0.114,0.004,0.11,0.0300000000000005,2022-06-17 17:57:11.896483
Biden's 538 approval for June 22?,https://www.predictit.org/markets/detail/7988/What-will-Joe-Biden's-538-job-approval-rating-be-for-June-22,1.4,1.13,7.87,7.6,9,8,0.113,0.002,0.111,0.0189999999999998,2022-06-16 23:40:26.058129
Senate Yeas for gun control by June 30?,https://www.predictit.org/markets/detail/7977/How-many-votes-in-the-Senate-for-a-gun-control-bill-by-June-30,1.33,1.11,9.89,9.67,11,10,0.111,0.003,0.108,0.0020000000000011,2022-06-15 22:48:57.603143
Biden's RCP approval on June 17?,https://www.predictit.org/markets/detail/7979/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-June-17,1.49,1.23,4.77,4.51,6,5,0.123,0.001,0.122,0.1080000000000004,2022-06-15 09:20:13.481952
SC-01 GOP primary margin?,https://www.predictit.org/markets/detail/7980/What-will-be-the-margin-in-the-SC-01-GOP-primary,1.35,1.12,8.879999999999999,8.65,10,9,0.112,0.003,0.109,0.0110000000000009,2022-06-14 17:57:14.543252
NV Senate GOP primary margin?,https://www.predictit.org/markets/detail/7971/What-will-be-the-margin-in-the-Nevada-GOP-Senate-primary,1.22,1.11,8.89,8.78,10,9,0.1109999999999999,0.002,0.1089999999999999,0.0009999999999994,2022-06-14 03:08:11.173728
Congressional ballot lead for June 15?,https://www.predictit.org/markets/detail/7975/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-June-15,1.45,1.24,6.76,6.55,8,7,0.124,0.002,0.122,0.1180000000000002,2022-06-11 21:47:21.289319
Biden's 538 approval for June 15?,https://www.predictit.org/markets/detail/7973/What-will-Joe-Biden's-538-job-approval-rating-be-for-June-15,1.29,1.11,7.89,7.71,9,8,0.111,0.001,0.11,3.191891195797325e-16,2022-06-11 00:23:12.614330
Votes for Barr at Fed?,https://www.predictit.org/markets/detail/7972/How-many-votes-to-confirm-Michael-Barr-as-Fed-vice-chair,5.95,1.2,8.8,3.05,10,9,0.12,0.002,0.118,0.0819999999999992,2022-06-10 04:10:21.557351
Who'll be the CO GOP Senate nominee?,https://www.predictit.org/markets/detail/7549/Who-will-be-the-2022-Colorado-Republican-Senate-nominee,1.12,1.08,0.92,0.8800000000000001,2,1,0.108,0.03,0.078,0.002,2022-06-09 17:26:28.635016
Biden's RCP approval on June 10?,https://www.predictit.org/markets/detail/7960/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-June-10,1.26,1.11,3.89,3.74,5,4,0.111,0.002,0.109,0.0009999999999998,2022-06-09 06:37:42.191076
Trump endorsement in MO Senate primary?,https://www.predictit.org/markets/detail/7826/Whom-will-Trump-endorse-in-the-2022-Missouri-Republican-Senate-primary,1.64,1.14,2.8600000000000003,2.36,4,3,0.114,0.001,0.113,0.0269999999999996,2022-06-09 02:13:14.400234
Rhode Island Dem nominee for governor?,https://www.predictit.org/markets/detail/7874/Who-will-win-the-2022-Rhode-Island-Democratic-gubernatorial-nomination,1.23,1.13,2.87,2.77,4,3,0.113,0.002,0.111,0.0189999999999998,2022-06-08 17:09:35.274649
NV-01 Republican nominee?,https://www.predictit.org/markets/detail/7958/Who-will-win-the-Republican-nomination-for-the-NV-01-House-election,1.32,1.21,1.79,1.6800000000000002,3,2,0.121,0.002,0.119,0.0909999999999999,2022-06-08 12:03:42.564176
LA mayor primary margin of victory?,https://www.predictit.org/markets/detail/7956/What-will-be-the-margin-in-the-Los-Angeles-mayoral-primary,1.38,1.13,8.87,8.62,10,9,0.113,0.004,0.109,0.0210000000000007,2022-06-07 21:18:40.588089
Trump candidates winning June Primaries?,https://www.predictit.org/markets/detail/7955/How-many-of-these-nine-Trump-candidates-win-June-primaries,1.43,1.13,5.87,5.57,7,6,0.113,0.001,0.112,0.0179999999999998,2022-06-07 15:03:08.825398
Next European leader out?,https://www.predictit.org/markets/detail/7636/Which-of-these-10-European-leaders-will-leave-office-next,1.32,1.18,8.82,8.68,10,9,0.118,0.001,0.117,0.0629999999999997,2022-06-06 09:32:41.468695
Biden's 538 approval for June 8?,https://www.predictit.org/markets/detail/7953/What-will-Joe-Biden's-538-job-approval-rating-be-for-June-8,1.22,1.11,7.89,7.779999999999999,9,8,0.111,0.001,0.11,3.05311331771918e-16,2022-06-05 16:20:28.778423
NY-12 Democratic nominee?,https://www.predictit.org/markets/detail/7935/Who-will-win-the-Democratic-nomination-in-the-NY-12-House-election,1.14,1.11,1.89,1.86,3,2,0.111,0.015,0.096,0.0139999999999998,2022-06-04 13:51:06.945317
CA-40 primary leader?,https://www.predictit.org/markets/detail/7936/Who-will-win-the-most-votes-in-the-CA-40-House-primary,1.13,1.1,0.9,0.87,2,1,0.11,0.0319999999999999,0.078,0.0219999999999999,2022-06-03 07:40:59.970146
GA-06 Republican nominee?,https://www.predictit.org/markets/detail/7946/Who-will-win-the-Republican-nomination-in-the-GA-06-House-runoff,1.2,1.14,0.8600000000000001,0.8,2,1,0.1139999999999999,0.0199999999999999,0.094,0.0459999999999999,2022-06-03 03:59:40.465539
Georgia Dem Lt. Gov runoff winner?,https://www.predictit.org/markets/detail/7917/Who-will-win-the-2022-Georgia-Democratic-lieutenant-gubernatorial-runoff,1.16,1.14,0.86,0.8400000000000001,2,1,0.114,0.0349999999999999,0.079,0.061,2022-06-02 14:40:14.879277
Biden's RCP approval on June 3?,https://www.predictit.org/markets/detail/7940/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-June-3,1.32,1.11,6.89,6.68,8,7,0.111,0.001,0.11,2.914335439641036e-16,2022-06-01 18:58:16.596093
Ensemble seats in French leg. election?,https://www.predictit.org/markets/detail/7930/How-many-seats-will-Macron's-Ensemble-win-in-the-2022-French-leg-election,1.87,1.2,8.799999999999999,8.13,10,9,0.12,0.001,0.119,0.081000000000001,2022-05-31 06:03:00.057723
NY-11 Democratic nominee?,https://www.predictit.org/markets/detail/7735/Who-will-win-the-Democratic-nomination-in-the-NY-11-House-election,1.17,1.06,0.94,0.8300000000000001,2,1,0.106,0.05,0.056,0.004,2022-05-29 18:54:50.498928
PA-Sen GOP primary margin of victory?,https://www.predictit.org/markets/detail/7918/What-will-be-the-vote-margin-in-the-Pennsylvania-Republican-Senate-primary,1.41,1.12,10.88,10.59,12,11,0.1119999999999999,0.001,0.1109999999999999,0.0089999999999992,2022-05-27 16:04:58.802928
Biden's RCP approval on May 27?,https://www.predictit.org/markets/detail/7922/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-May-27,1.22,1.12,2.88,2.78,4,3,0.112,0.001,0.111,0.0090000000000001,2022-05-27 03:39:10.407218
Biden's 538 approval for June 1?,https://www.predictit.org/markets/detail/7933/What-will-Joe-Biden's-538-job-approval-rating-be-for-June-1,1.3,1.11,7.89,7.7,9,8,0.111,0.003,0.108,0.0020000000000003,2022-05-26 23:36:21.551569
Congressional ballot lead for June 1?,https://www.predictit.org/markets/detail/7934/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-June-1,1.48,1.13,7.87,7.52,9,8,0.113,0.001,0.112,0.0179999999999998,2022-05-26 18:38:40.123921
VA-07 Republican nominee?,https://www.predictit.org/markets/detail/7932/Who-will-win-the-Republican-nomination-for-the-VA-07-House-election,4.04,1.79,3.21,0.96,5,4,0.179,0.005,0.174,0.616,2022-05-26 18:28:29.492218
California controller primary leader?,https://www.predictit.org/markets/detail/7928/Who-will-place-first-in-the-2022-primary-for-California-controller,1.99,1.1800000000000002,3.82,3.01,5,4,0.118,0.001,0.117,0.0630000000000001,2022-05-26 06:40:05.531467
AL Senate GOP primary margin?,https://www.predictit.org/markets/detail/7921/What-will-be-the-margin-in-the-Alabama-GOP-Senate-primary-first-round,2.86,1.21,9.79,8.14,11,10,0.121,0.002,0.119,0.0910000000000008,2022-05-25 02:15:02.737626
NY-10 Democratic nominee?,https://www.predictit.org/markets/detail/7927/Who-will-win-the-Democratic-nomination-in-the-NY-10-House-election,2.29,1.12,4.88,3.71,6,5,0.112,0.002,0.11,0.01,2022-05-24 17:10:06.321630
GA GOP insurance commissioner nominee?,https://www.predictit.org/markets/detail/7925/Who-will-win-the-2022-Georgia-Republican-insurance-commissioner-nomination,1.22,1.06,0.94,0.78,2,1,0.106,0.05,0.056,0.004,2022-05-24 03:35:48.059536
Biden's 538 approval for May 25?,https://www.predictit.org/markets/detail/7920/What-will-Joe-Biden's-538-job-approval-rating-be-for-10-AM-May-25,1.22,1.11,4.89,4.78,6,5,0.111,0.004,0.107,0.0030000000000002,2022-05-23 18:35:33.143575
TX-28 Dem runoff margin of victory?,https://www.predictit.org/markets/detail/7915/What-will-be-the-margin-in-the-TX-28-Democratic-primary-runoff,1.42,1.15,8.85,8.58,10,9,0.115,0.004,0.111,0.0390000000000003,2022-05-23 17:54:33.591615
Labor seats in Australian election?,https://www.predictit.org/markets/detail/7909/How-many-seats-will-the-Labor-Party-win-in-the-2022-Australian-election,1.66,1.14,8.86,8.34,10,9,0.114,0.002,0.112,0.0280000000000005,2022-05-21 06:47:28.252283
AL GOP Senate first-round second place?,https://www.predictit.org/markets/detail/7924/Who-will-place-second-in-the-first-round-of-the-2022-Alabama-GOP-Senate-primary,1.61,1.1,1.9,1.39,3,2,0.11,0.015,0.095,0.005,2022-05-20 22:23:47.146924
Georgia Dem Lt. Gov nominee?,https://www.predictit.org/markets/detail/7917/Who-will-win-the-2022-Georgia-Democratic-lieutenant-gubernatorial-nomination,1.73,1.11,4.89,4.27,6,5,0.111,0.001,0.11,3.05311331771918e-16,2022-05-20 04:46:27.867411
Georgia GOP Lt. Gov nominee?,https://www.predictit.org/markets/detail/7913/Who-will-win-the-2022-Georgia-Republican-lieutenant-gubernatorial-nomination,1.18,1.14,2.86,2.82,4,3,0.114,0.002,0.112,0.0280000000000001,2022-05-20 04:38:22.100715
Which party will win OR governor's race?,https://www.predictit.org/markets/detail/7590/Which-party-will-win-the-2022-Oregon-gubernatorial-election,1.15,1.1,1.9,1.85,3,2,0.11,0.017,0.093,0.007,2022-05-19 22:58:04.445442
Biden's 538 approval for May 25?,https://www.predictit.org/markets/detail/7920/What-will-Joe-Biden's-538-job-approval-rating-be-for-May-25,1.27,1.11,7.89,7.73,9,8,0.111,0.001,0.11,3.05311331771918e-16,2022-05-19 22:02:39.342384
GA GOP Sec. State nomination winner?,https://www.predictit.org/markets/detail/7205/Who-will-win-the-2022-Georgia-Republican-Secretary-of-State-nomination,1.08,1.06,0.94,0.92,2,1,0.106,0.048,0.058,0.002,2022-05-19 20:13:49.054648
Congressional ballot lead for May 25?,https://www.predictit.org/markets/detail/7919/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-May-25,1.99,1.22,7.78,7.01,9,8,0.122,0.001,0.121,0.0989999999999997,2022-05-19 16:47:30.267988
Next Asia-Pacific leader out?,https://www.predictit.org/markets/detail/7840/Which-of-these-10-Asia-Pacific-leaders-will-leave-office-next,1.61,1.2,8.8,8.39,10,9,0.12,0.002,0.118,0.0819999999999992,2022-05-19 11:38:02.045090
Most seats in the Australian election?,https://www.predictit.org/markets/detail/7726/Who-will-win-the-most-seats-in-the-2022-Australian-federal-election,1.1800000000000002,1.08,0.92,0.82,2,1,0.108,0.03,0.078,0.002,2022-05-19 10:02:18.724696
GA gov GOP Kemp vote share?,https://www.predictit.org/markets/detail/7914/What-percentage-of-the-Georgia-Gov-GOP-first-round-primary-vote-will-Kemp-win,2.95,1.21,8.79,7.05,10,9,0.121,0.002,0.119,0.0910000000000008,2022-05-18 06:13:33.242006
OR-05 Democratic nominee?,https://www.predictit.org/markets/detail/7834/Who-will-win-the-Democratic-nomination-in-the-OR-05-election,1.15,1.0699999999999998,0.93,0.8500000000000001,2,1,0.1069999999999999,0.037,0.0699999999999999,8.326672684688674e-17,2022-05-18 02:48:50.578582
Philly winner in PA Dem Senate primary?,https://www.predictit.org/markets/detail/7908/Who-will-win-Philadelphia-County-in-the-2022-Pennsylvania-Dem-Senate-primary,1.3,1.09,0.91,0.7,2,1,0.109,0.048,0.061,0.0289999999999999,2022-05-18 01:41:52.013329
Which party will win the PA Senate race?,https://www.predictit.org/markets/detail/7016/Which-party-will-win-the-US-Senate-election-in-Pennsylvania-in-2022,1.08,1.06,0.94,0.92,2,1,0.106,0.049,0.057,0.003,2022-05-18 00:57:14.515108
Cawthorn NC-11 Republican nominee?,https://www.predictit.org/markets/detail/7791/Who-will-win-the-Republican-nomination-in-the-NC-11-House-election,1.14,1.06,0.94,0.86,2,1,0.106,0.051,0.055,0.005,2022-05-17 23:57:10.087504
NC-11 GOP primary margin?,https://www.predictit.org/markets/detail/7904/What-will-be-the-margin-in-the-NC-11-GOP-primary,1.31,1.12,8.88,8.69,10,9,0.1119999999999999,0.006,0.1059999999999999,0.0139999999999992,2022-05-17 23:12:46.045257
Philly winner in PA GOP Senate primary?,https://www.predictit.org/markets/detail/7899/Who-will-win-Philadelphia-County-in-the-2022-Pennsylvania-GOP-Senate-primary,1.17,1.11,1.89,1.83,3,2,0.111,0.015,0.096,0.0139999999999998,2022-05-17 12:09:49.940469
NC Sen GOP primary margin?,https://www.predictit.org/markets/detail/7911/What-will-be-the-margin-in-the-North-Carolina-GOP-Senate-primary,1.65,1.16,8.84,8.35,10,9,0.116,0.002,0.114,0.0460000000000001,2022-05-16 23:32:55.683148
PA Senate GOP primary winner vote share?,https://www.predictit.org/markets/detail/7902/What-share-of-the-primary-vote-will-the-Pennsylvania-GOP-Senate-nominee-win,1.21,1.12,7.88,7.79,9,8,0.112,0.001,0.111,0.0090000000000001,2022-05-16 18:01:38.221077
